X,Y,Theta,Range,Bearing,ATE_MSRE,Num_Landmarks
0.03034,0.09184,0.021137,0.638545,0.0456069,1.392,182
0.0920344,0.0491727,0.0318098,0.684,0.10983,1.446,156
0.0612694,0.0870972,0.0291863,0.7100839,0.1297859,1.517,155
0.0380794,0.0951207,0.0260191,0.6387926,0.0345955,1.583,181
0.0579445,0.0716723,0.0114748,0.7488392,0.1553071,1.65,153
0.0321042,0.092576,0.0222544,0.6385937,0.0430941,1.675,181
0.0761569,0.0548961,0.0145626,0.9500316,0.0613065,1.737,166
0.065336,0.1,0.0349065,0.6016896,0.0692031,2.025,168
0.0665897,0.0623157,0.0302002,0.672048,0.1661189,2.043,151
0.0180613,0.0923493,0.0157719,0.7415603,0.105,2.163,162
0.0961296,0.1,0.0349065,0.7437616,0.1176994,2.238,152
0.0641147,0.0815348,0.0084148,0.2406343,0.113488,2.257,193
0.0736336,0.0501348,0.0054872,0.2185246,0.162341,2.297,185
0.0750573,0.0736788,0.0349065,0.1731413,0.1745329,2.732,194
0.0473567,0.0946263,0.0185329,0.2202961,0.1694458,3.191,181
0.0974555,0.1,0.0017453,0.2144011,0.1462057,3.936,183
